0,01 40 01 10 00 01 00 00 00 01 01 00 00 00 02 01 00 00 00 03 01 00 00 00 04 01 00 00 00 05 01 00 00 00 06 01 00 00 00 07 01 00 00 00 08 01 00 00 00 09 01 00 00 00 0a 01 00 00 00 0b 01 00 00 00 0c 01 00 00 00 0d 01 00 00 00 0e 01 00 00 00 0f 01 00 00 00,01 40 01 10 00 01 00 00 00 01 01 00 00 00 02 01 00 00 00 03 01 00 00 00 04 01 00 00 00 05 01 00 00 00 06 01 00 00 00 07 01 00 00 00 08 01 00 00 00 09 01 00 00 00 0a 01 00 00 00 0b 01 00 00 00 0c 01 00 00 00 0d 01 00 00 00 0e 01 00 00 00 0f 01 00 00 00
16000,01 74 04 10 00 00 08 00 00 01 00 08 00 00 02 00 08 00 00 03 00 08 00 00 04 00 08 00 00 05 00 08 00 00 06 00 08 00 00 07 00 08 00 00 08 00 08 00 00 09 00 08 00 00 0a 00 08 00 00 0b 00 08 00 00 0c 00 08 00 00 0d 00 08 00 00 0e 00 08 00 00 0f 00 08 00 00,01 74 04 10 00 00 08 00 00 01 00 08 00 00 02 00 08 00 00 03 00 08 00 00 04 00 08 00 00 05 00 08 00 00 06 00 08 00 00 07 00 08 00 00 08 00 08 00 00 09 00 08 00 00 0a 00 08 00 00 0b 00 08 00 00 0c 00 08 00 00 0d 00 08 00 00 0e 00 08 00 00 0f 00 08 00 00
31000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 0e 00 00 08 00 00 01 f1 07 00 00 02 cf 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 02 08 00 00 09 f4 07 00 00 0a ed 07 00 00 0b f1 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 ff 00 00 00 00 ff 00 00 00 00
31000,01 40 01 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,01 40 01 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00
15000,01 26 02 10 00 96 00 00 00 01 96 00 00 00 02 96 00 00 00 03 96 00 00 00 04 96 00 00 00 05 96 00 00 00 06 96 00 00 00 07 96 00 00 00 08 96 00 00 00 09 96 00 00 00 0a 96 00 00 00 0b 96 00 00 00 0c 96 00 00 00 0d 96 00 00 00 0e 96 00 00 00 0f 96 00 00 00,01 26 02 10 00 96 00 00 00 01 96 00 00 00 02 96 00 00 00 03 96 00 00 00 04 96 00 00 00 05 96 00 00 00 06 96 00 00 00 07 96 00 00 00 08 96 00 00 00 09 96 00 00 00 0a 96 00 00 00 0b 96 00 00 00 0c 96 00 00 00 0d 96 00 00 00 0e 96 00 00 00 0f 96 00 00 00
15000,01 0b 01 10 00 03 00 00 00 01 03 00 00 00 02 03 00 00 00 03 03 00 00 00 04 03 00 00 00 05 03 00 00 00 06 03 00 00 00 07 03 00 00 00 08 03 00 00 00 09 03 00 00 00 0a 03 00 00 00 0b 03 00 00 00 0c 03 00 00 00 0d 03 00 00 00 0e 03 00 00 00 0f 03 00 00 00,01 0b 01 10 00 03 00 00 00 01 03 00 00 00 02 03 00 00 00 03 03 00 00 00 04 03 00 00 00 05 03 00 00 00 06 03 00 00 00 07 03 00 00 00 08 03 00 00 00 09 03 00 00 00 0a 03 00 00 00 0b 03 00 00 00 0c 03 00 00 00 0d 03 00 00 00 0e 03 00 00 00 0f 03 00 00 00
31000,01 40 01 10 00 01 00 00 00 01 01 00 00 00 02 01 00 00 00 03 01 00 00 00 04 01 00 00 00 05 01 00 00 00 06 01 00 00 00 07 01 00 00 00 08 01 00 00 00 09 01 00 00 00 0a 01 00 00 00 0b 01 00 00 00 0c 01 00 00 00 0d 01 00 00 00 0e 01 00 00 00 0f 01 00 00 00,01 40 01 10 00 01 00 00 00 01 01 00 00 00 02 01 00 00 00 03 01 00 00 00 04 01 00 00 00 05 01 00 00 00 06 01 00 00 00 07 01 00 00 00 08 01 00 00 00 09 01 00 00 00 0a 01 00 00 00 0b 01 00 00 00 0c 01 00 00 00 0d 01 00 00 00 0e 01 00 00 00 0f 01 00 00 00
31000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
47000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
62000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
78000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 02 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
78000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
94000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
109000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
125000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e7 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
125000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
140000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
156000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
156000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
172000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
172000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
187000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
203000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
203000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
219000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
234000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
234000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
250000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
250000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e7 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
265000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
281000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
281000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
297000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
312000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
312000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
328000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
328000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f1 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
344000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 01 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
359000,00 84 04 10 00 00 00 00 00 01 00 00 00 00 02 00 00 00 00 03 00 00 00 00 04 00 00 00 00 05 00 00 00 00 06 00 00 00 00 07 00 00 00 00 08 00 00 00 00 09 00 00 00 00 0a 00 00 00 00 0b 00 00 00 00 0c 00 00 00 00 0d 00 00 00 00 0e 00 00 00 00 0f 00 00 00 00,00 84 04 10 00 00 08 00 00 01 f1 07 00 00 02 d0 07 00 00 03 e7 07 00 00 04 0d 08 00 00 05 eb 07 00 00 06 e8 07 00 00 07 f0 07 00 00 08 02 08 00 00 09 f3 07 00 00 0a ed 07 00 00 0b f0 07 00 00 0c 0c 08 00 00 0d ff 07 00 00 0e 00 08 00 00 0f 01 08 00 00
